,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
51,Stargazing,Kygo,54580,https://open.spotify.com/track/0Zbbxnx4SGGHoIow4PpISP
52,失落沙洲,"LaLa Hsu",53975,https://open.spotify.com/track/4vBoopG4WzohMju1GUmwoi
53,"在沒有你以後 (feat. 張智成)",R-chord,53450,https://open.spotify.com/track/4mDGkFRAqaYosoyWUI7QzM
54,"Lonely Together (feat. Rita Ora)",Avicii,52692,https://open.spotify.com/track/2OALaHcDdKkjYEpAr0Qzab
55,"Look What You Made Me Do","Taylor Swift",51433,https://open.spotify.com/track/5troof8mcGO3AafoDbk1gc
56,到此為止,"LaLa Hsu",50600,https://open.spotify.com/track/5dUshocB5ykBkSr8jtMf7p
57,Anywhere,"Rita Ora",50480,https://open.spotify.com/track/7EI6Iki24tBHAMxtb4xQN2
58,"你,好不好? - Ending Theme Song of TVBS Series ""Life List""","Eric Chou",49914,https://open.spotify.com/track/2gug6MRv4xQFYi9LA3PJCS
59,"A Million Dreams","Ziv Zaifman",49180,https://open.spotify.com/track/0RoA7ObU6phWpqhlC9zH4Z
60,記得帶走,"LaLa Hsu",48701,https://open.spotify.com/track/2vufWUfS5xLwIf3S0jKV1V
61,Wait,"Maroon 5",48147,https://open.spotify.com/track/1Qg9jWGDkKAGZXj5v2OG59
62,"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)","Machine Gun Kelly",47144,https://open.spotify.com/track/0OI7AFifLSoGzpb8bdBLLV
63,"不曾回來過 - 電視劇""通靈少女""插曲",李千那,46842,https://open.spotify.com/track/6QAn6Crff7sfcqC83fH7dd
64,"你啊你啊 - 電視劇「用九柑仔店」插曲","Waa Wei",46805,https://open.spotify.com/track/4nyO1azSuhT5JrETvzEahs
65,"Will You Remember Me","Nicky Lee",46697,https://open.spotify.com/track/2e1jfYNXJ6tT4zn7vBTo7D
66,心裡學,"LaLa Hsu",46378,https://open.spotify.com/track/7CjUELqDMLUo2fu61nkJOJ
67,"This Is Me (From the Greatest Showman)",Kesha,46080,https://open.spotify.com/track/3lCHADWP8ohxnfBiUqAN3o
68,不為誰而作的歌,"JJ Lin",44961,https://open.spotify.com/track/0VqSdtXseb9khdZrnYVyM1
69,"The Other Side","Hugh Jackman",44489,https://open.spotify.com/track/2cKovq3l6OJjhVVDbVKOsr
70,讓我留在你身邊,"Eason Chan",43480,https://open.spotify.com/track/07MNtfddtgCo6VrUm3O9dw
71,說散就散,"JC 陳泳彤",43450,https://open.spotify.com/track/3CE1HoJJ0FVKo7JHsWIuvC
72,"I Like Me Better",Lauv,43118,https://open.spotify.com/track/1wjzFQodRWrPcQ0AnYnvQ9
73,你說了算,"A-Mei Chang",42806,https://open.spotify.com/track/6AajTEPliMJm4rJ9UMPUP2
74,"From Now On","Hugh Jackman",42571,https://open.spotify.com/track/3IkWmgGsXbsafrunwPojXO
75,誰來剪月光,"Eason Chan",42414,https://open.spotify.com/track/06FmV54Khr2uKbMr4IfJ7I
76,Naked,"James Arthur",41802,https://open.spotify.com/track/7krbSH3rd8lhIZvuzTV3Bl
77,戒菸,"Ronghao Li",41547,https://open.spotify.com/track/65KjitGykI5QIcsYrNhPZR
78,"Échame La Culpa","Luis Fonsi",41128,https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK
79,獨家記憶,"Jordan Chan",40529,https://open.spotify.com/track/2XqJL0Fsb7HoH6fPJMqbej
80,"Come Alive","Hugh Jackman",40102,https://open.spotify.com/track/5xNUR50KxswPRAvx7S163g
81,拋物線,"Tanya Chua",39982,https://open.spotify.com/track/2oZJWtQZ6CLPHHsnUhC3IY
82,人質,"A-Mei Chang",39904,https://open.spotify.com/track/6OAUhxFZzaRHHC8XiuIkvb
83,Universe,EXO,39704,https://open.spotify.com/track/5ptViFrfoKdGPTdd9oQCwr
84,"幸褔路上 - 電影《幸福路上》主題曲","Jolin Tsai",39443,https://open.spotify.com/track/0rEpxy7OwIcVJX10dL4iMT
85,"Bartier Cardi (feat. 21 Savage)","Cardi B",39204,https://open.spotify.com/track/75FDPwaULRdYDn4StFN2rT
86,"Gucci Gang","Lil Pump",39060,https://open.spotify.com/track/43ZyHQITOjhciSUUNPVRHc
87,DNA,BTS,38921,https://open.spotify.com/track/5SE57ljOIUJ1ybL9U6CuBH
88,"I Fall Apart","Post Malone",38754,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
89,青春住了誰,"Rainie Yang",38689,https://open.spotify.com/track/0JddqUycMUJv6IoOzwUCVG
90,以後別做朋友,"Eric Chou",38490,https://open.spotify.com/track/7zyYmIdjqqiX6kLryb7QBx
91,買榜,Kumachan,38013,https://open.spotify.com/track/67LTN04r77CavIkE7dc4tF
92,"Young Dumb & Broke",Khalid,37706,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
93,"寂寞無害 - 八大韓劇”拜託了媽媽”片頭曲","Eve Ai",37391,https://open.spotify.com/track/5hVaRXaXgpN9lNK61oyz2I
94,我很愉快,"Stefanie Sun",37245,https://open.spotify.com/track/0ymRuzItRMc5FyJRqRpAkR
95,傲嬌,"A-Mei Chang",36851,https://open.spotify.com/track/05mOZWxwX317mNF4lQjm5x
96,壞的好人,"A-Mei Chang",36642,https://open.spotify.com/track/2GxItcqsVBFX2ZdZL1WO1y
97,猜不透,Della,36150,https://open.spotify.com/track/2X2PpBmMlVnpLJOeurbLyp
98,"Stranger Things (feat. OneRepublic)",Kygo,36014,https://open.spotify.com/track/5gIRPQWULwrvIt0F6pY7ph
99,"我多喜歡你,你會知道 - 網劇《致我們單純的小美好》推廣曲","Wang Jun Qi",35908,https://open.spotify.com/track/221FBKC22DTc7XkPIaZYOl
100,Tightrope,"Michelle Williams",35333,https://open.spotify.com/track/0GVuLQtPXFaL18ijEOqoAa
101,"Paris in the Rain",Lauv,35083,https://open.spotify.com/track/0RGUIOZtmOXTWOy5EjvQbP
102,Faded,"Alan Walker",34742,https://open.spotify.com/track/7gHs73wELdeycvS48JfIos
103,Thunder,"Imagine Dragons",34390,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW
104,黏黏,"Eric Chou",34374,https://open.spotify.com/track/5AnzBfbZ7G88EQqIO5uxFL
105,"Real Friends","Camila Cabello",33897,https://open.spotify.com/track/4V6MRo0CEAC9MwAm7dkPuL
106,"We Don't Talk Anymore","Charlie Puth",33844,https://open.spotify.com/track/68EMU2RD1ECNeOeJ5qAXCV
107,Paris,"The Chainsmokers",33750,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
108,人啊,"LaLa Hsu",33414,https://open.spotify.com/track/2mtPTsIRCOhfOOgRF0os5U
109,"No Limit",G-Eazy,33370,https://open.spotify.com/track/2DQ1ITjI0YoLFzuADN1ZBW
110,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,33296,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
111,Sober,G-Eazy,33257,https://open.spotify.com/track/3qk4wRMDlaeagZGjSYbsOV
112,裝醉,"A-Mei Chang",33168,https://open.spotify.com/track/7A3xZcmJid8Vzknv3P79Zh
113,"Hold Me","Eric Nam",33162,https://open.spotify.com/track/6N0uDUUQRQd7lIIFU2aaEQ
114,"永不失聯的愛 [原創概念版]","Eric Chou",33098,https://open.spotify.com/track/21NmnwPP8SHKyVtjvubGSs
115,Lonely,JONGHYUN,32681,https://open.spotify.com/track/5efB9wfc6dn3pzll9ElIrH
116,"Scared to Be Lonely","Martin Garrix",32527,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
117,踮起腳尖愛,"Pei-Yu Hong",32181,https://open.spotify.com/track/18sAGLtcv4bRvwUfmfM5o9
118,"Stay With Me",CHANYEOL,31771,https://open.spotify.com/track/1HYzRuWjmS9LXCkdVHi25K
119,"It Ain't Me (with Selena Gomez)",Kygo,31639,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
120,"Candy Paint","Post Malone",31614,https://open.spotify.com/track/42CeaId2XNlxugDvyqHfDf
121,風衣,"Stefanie Sun",31580,https://open.spotify.com/track/4mfiW3wb3JcbYn99eqgiuN
122,"小瓶子 (電影 ""假如王子睡著了"" 印象曲)","JJ Lin",31475,https://open.spotify.com/track/6L8Iv2orxcaVQndiVGWMdc
123,"A Million Dreams (Reprise)","Austyn Johnson",31353,https://open.spotify.com/track/66y7x28jXOPrcmu3D5Zjh6
124,"There's Nothing Holdin' Me Back","Shawn Mendes",31192,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
125,那些你很冒險的夢,"JJ Lin",30861,https://open.spotify.com/track/5kZDxLcbqglZ2yYXg4Mkjc
126,現在不跳舞要幹嘛,"LaLa Hsu",30767,https://open.spotify.com/track/3CHEm7s44lSZw8460VIXDG
127,光,"A-Mei Chang",30655,https://open.spotify.com/track/2IRMNpHV3nwRz88cw3cjyb
128,了不起寂寞,"Princess Ai",30621,https://open.spotify.com/track/2VLeMvHpsthplIUfRjqiOR
129,"Never Enough (Reprise)","Loren Allred",30547,https://open.spotify.com/track/6f8b6mxNNDJdE5tC4MCTxt
130,"Heart Shaker",TWICE,30537,https://open.spotify.com/track/6gxF4ibm6S95UUC6vyIiln
131,"Say You Won't Let Go","James Arthur",30398,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
132,Photograph,"Ed Sheeran",29864,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
133,"That's What I Like","Bruno Mars",29578,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
134,謝謝妳愛我,R-chord,29547,https://open.spotify.com/track/2mjJn3jZaam3Z7qgtKMNrq
135,突然好想你,Mayday,29431,https://open.spotify.com/track/3mTmGzRwgPPqLSi7Smvkxt
136,Stay,"Nicky Lee",28570,https://open.spotify.com/track/2VLnBOyL0KZzsPDVVelwnE
137,啞巴,"Will Pan",28329,https://open.spotify.com/track/3ZvofS0vgNaFLRQBVZLODt
138,帥到分手,NICKTHEREAL,28152,https://open.spotify.com/track/2tG6FZtaX5NPWFA64d8DWz
139,到底,"A-Mei Chang",28019,https://open.spotify.com/track/132PHgHGX3zImcI6MkO0Fg
140,"Tell Me You Love Me","Demi Lovato",28013,https://open.spotify.com/track/5Htb1uFQ1KrkFXlefS8oGj
141,戒斷,"A-Mei Chang",27986,https://open.spotify.com/track/5iiVqH8ShIN7S8ufWoMRCr
142,"End Game","Taylor Swift",27558,https://open.spotify.com/track/2x0WlnmfG39ZuDmstl9xfX
143,Mama,"Jonas Blue",27519,https://open.spotify.com/track/0NiXXAI876aGImAd6rTj8w
144,"The Weekend - Funk Wav Remix",SZA,27467,https://open.spotify.com/track/0P6AWOA4LG1XOctzaVu5tt
145,"All I Want for Christmas Is You","Mariah Carey",27281,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
146,"Strip That Down","Liam Payne",27154,https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ
147,"Dirty Sexy Money (feat. Charli XCX & French Montana)","David Guetta",26903,https://open.spotify.com/track/0tPQPaOKM32WgMSbPCYyRH
148,"Perfect Symphony (Ed Sheeran & Andrea Bocelli)","Ed Sheeran",26632,https://open.spotify.com/track/3zl7j5ua8mF4JDYuxrfo01
149,十年,"Eason Chan",26603,https://open.spotify.com/track/25pWemriUQVrZ3yIiS2IBf
150,終於結束的起點,Mayday,26118,https://open.spotify.com/track/0bO3QxEaW3Lk0Wi8DsaGZY
151,Gashina,SUNMI,26018,https://open.spotify.com/track/0jFHMDRXxKaREor3hBEEST
152,可惜沒如果,"JJ Lin",25921,https://open.spotify.com/track/6WoQzK5Exbfcmow1AoNRkl
153,"Dear My Family - Studio Version",SMTOWN,25855,https://open.spotify.com/track/3hJAhs3PA6JBFJURJWyVsg
154,"Galway Girl","Ed Sheeran",25559,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
155,病人,"LaLa Hsu",25410,https://open.spotify.com/track/5KQJqitgoddHUZaoK4whHy
156,"Back to You (feat. Bebe Rexha & Digital Farm Animals)","Louis Tomlinson",25298,https://open.spotify.com/track/7F9vK8hNFMml4GtHsaXui6
157,instagram,DEAN,25127,https://open.spotify.com/track/4LjlYndpXP76iDArlJaWXT
158,"No Promises (feat. Demi Lovato)","Cheat Codes",25088,https://open.spotify.com/track/1louJpMmzEicAn7lzDalPW
159,"Tip Toe (feat. French Montana)","Jason Derulo",24999,https://open.spotify.com/track/2z4pcBLQXF2BXKFvd0BuB6
160,Dreamer,"Axwell /\ Ingrosso",24926,https://open.spotify.com/track/0RTzJVkunbGwuRjXDFHnjf
161,"Thunder / Young Dumb & Broke (with Khalid) - Medley","Imagine Dragons",24798,https://open.spotify.com/track/7ER7vcy7u2ajg5IV45WBFw
162,IDGAF,"Dua Lipa",24755,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
163,她說,"JJ Lin",24698,https://open.spotify.com/track/632VyMrvhsHIsO4zq9khts
164,大頭仔,"LaLa Hsu",24418,https://open.spotify.com/track/2N3NFJqMRZ74xXZTacYNBj
165,我想念我自己,"Julia Peng",24360,https://open.spotify.com/track/34sJGyPBW2T6s3uA030BMq
166,1-800-273-8255,Logic,24340,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV
167,"As If It's Your Last",BLACKPINK,23931,https://open.spotify.com/track/1Zyd6zQnC6XIIzmg3hP7Ot
168,"More Than You Know","Axwell /\ Ingrosso",23885,https://open.spotify.com/track/71bBFbfn2OBK5QwUJSLS44
169,"2U (feat. Justin Bieber)","David Guetta",23794,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M
170,壞蛋特調,J.Sheon,23672,https://open.spotify.com/track/6dJQzvVaBEsUqlfT1a8QYc
171,爛泥,"No Party For Cao Dong",23541,https://open.spotify.com/track/23JBZdzeOJyj68rJiWhNfm
172,兒歌,"LaLa Hsu",23362,https://open.spotify.com/track/5uv10EoF8NtDuMSCv4SRYc
173,LIKEY,TWICE,23269,https://open.spotify.com/track/4Eb5cLWxKQUoUQaKUYSRgI
174,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",23205,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
175,派對動物,Mayday,23003,https://open.spotify.com/track/3HwyNPs2e1iaD9slrimZ2Q
176,大齡女子,"Julia Peng",22804,https://open.spotify.com/track/4pkUru7mlNlEP5B5urUbGL
177,浪費,"LaLa Hsu",22738,https://open.spotify.com/track/3gZ8MaUydTMX27teBh1L22
178,一千零一個願望(單人版),"Rainie Yang",22420,https://open.spotify.com/track/3arcpJVhgOfkHnN5PhNLSv
179,放逐愛情,Yvonne,22383,https://open.spotify.com/track/63nFTbzXjy386EzP408NHi
180,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)","DJ Khaled",22244,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817
181,"Pretty Girl - Cheat Codes X CADE Remix","Maggie Lindemann",22117,https://open.spotify.com/track/1NDxZ7cFAo481dtYWdrUnR
182,我們的總和,"Eve Ai",22093,https://open.spotify.com/track/4ULpb9FXugNqQtv6K6tlUk
183,是日救星,"LaLa Hsu",22062,https://open.spotify.com/track/3LrztUIkzaKOyVlBV41Wx2
184,Issues,"Julia Michaels",21984,https://open.spotify.com/track/7vu0JkJh0ldukEYbTVcqd0
185,我以為,"Victor Wong",21958,https://open.spotify.com/track/03m5ynXvoV7XkMKQUvtYgy
186,"Bad At Love",Halsey,21918,https://open.spotify.com/track/7y9iMe8SOB6z3NoHE2OfXl
187,修煉愛情,"JJ Lin",21917,https://open.spotify.com/track/190kU2WKyIzx9XaBjfWRPk
188,"Riff Off","The Bellas",21810,https://open.spotify.com/track/51oZrLkVmpbhX9p52gxPdZ
189,Tired,"Alan Walker",21630,https://open.spotify.com/track/3b5Li4QKDVBx1x7fQuu54a
190,泡沫,G.E.M.,21587,https://open.spotify.com/track/2IfSPLPDW6RGosdB5huwAA
191,"Your Song","Rita Ora",21566,https://open.spotify.com/track/4c2W3VKsOFoIg2SFaO6DY5
192,"The Spectre","Alan Walker",21558,https://open.spotify.com/track/2DGa7iaidT5s0qnINlwMjJ
193,Believer,"Imagine Dragons",21405,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6
194,大風吹,"No Party For Cao Dong",21373,https://open.spotify.com/track/7lqihDfudBZIRzcbC5G32t
195,"Sorry Not Sorry","Demi Lovato",21145,https://open.spotify.com/track/3m660poUr1chesgkkjQM7P
196,Corazón,Maluma,21030,https://open.spotify.com/track/4lESS6vuruP6a79KWRaQou
197,"Ric Flair Drip (& Metro Boomin)",Offset,20854,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
198,就這樣,"Ronghao Li",20738,https://open.spotify.com/track/0lCmQz8PktuViUeP6CNRRK
199,"The Ocean (feat. Shy Martin)","Mike Perry",20313,https://open.spotify.com/track/2CPqh63wRVscbceKcPxwvv
200,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",20109,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
